wellName,DEPTH,Gamma,Porosity,Fluvialfacies
B4,2036.1063,86.622978,0.209583,1
B4,2036.6063,84.057098,0.212395,1
B4,2037.1063,77.329056,0.2312,1
B4,2037.6063,65.64389,0.256456,1
B4,2038.1063,62.768669,0.244147,1
B4,2038.6063,74.255875,0.216687,1
B4,2039.1063,86.331924,0.205233,1
B4,2039.6063,93.441711,0.200234,1
B4,2040.1063,98.046532,0.197131,1
B4,2040.6063,101.13906,0.194793,1
B4,2041.1063,103.41976,0.193118,1
B4,2041.6063,105.17111,0.191711,1
B4,2042.1063,102.7245,0.197423,1
B4,2042.6063,94.600304,0.206005,1
B4,2043.1063,87.727058,0.209516,1
B4,2043.6063,84.899147,0.210981,1
B4,2044.1063,83.663277,0.21169,1
B4,2044.6063,83.030014,0.212095,1
B4,2045.1063,83.983765,0.210012,1
B4,2045.6063,86.92157,0.206926,1
B4,2046.1063,89.601334,0.205297,1
B4,2046.6063,91.118797,0.204256,1
B4,2047.1063,89.112595,0.208827,1
B4,2047.6063,82.630379,0.215661,1
B4,2048.1063,79.627708,0.21411,1
